aX,aY,aZ,gX,gY,gZ
-0.031,-0.048,1.061,1.282,0.305,2.258
-0.005,0.001,0.867,0.610,1.648,2.075
0.032,0.033,0.886,0.244,1.465,1.465
-0.041,-0.050,1.079,1.892,1.038,1.770
0.005,-0.052,1.117,1.587,0.854,1.404
0.026,-0.067,1.133,0.427,0.854,0.854
-0.057,-0.004,0.753,0.488,0.854,0.610
0.001,0.025,0.731,2.563,1.526,0.610
-0.017,0.024,0.805,2.563,1.038,1.587
0.096,-0.063,1.147,0.061,0.793,1.160
0.092,-0.055,1.087,0.000,1.587,1.404
-0.084,-0.057,0.858,0.061,0.610,1.526
0.112,-0.051,0.998,0.671,1.343,1.770
0.059,-0.068,0.981,0.366,0.671,1.526
-0.023,-0.030,0.948,0.488,1.221,1.404
-0.048,0.040,0.702,0.366,1.343,0.061
-0.041,0.057,0.864,0.732,1.160,-0.366
0.139,-0.045,1.094,1.953,1.587,-0.488
0.095,-0.117,1.314,2.197,0.244,0.793
-0.018,-0.044,0.980,1.221,1.709,1.770
-0.024,0.005,0.731,-0.671,0.671,3.357
0.001,0.044,0.913,-0.061,0.305,3.601
-0.092,-0.041,1.100,2.075,1.343,2.686
0.027,-0.018,1.011,1.892,2.136,1.221
0.038,-0.061,1.032,0.671,0.977,0.000
-0.051,-0.012,0.835,0.427,0.610,0.183
0.068,0.010,0.791,1.465,1.221,1.221
0.013,-0.022,0.930,2.625,1.770,2.502
0.134,-0.108,1.236,1.953,1.404,3.174
0.008,-0.044,1.059,0.793,0.977,2.869
-0.081,-0.010,0.947,0.916,1.160,2.014
0.067,-0.004,0.957,1.526,1.709,1.892
0.100,-0.068,1.137,1.953,0.366,2.319
-0.073,-0.088,1.109,1.465,0.610,2.747
-0.037,0.018,0.734,0.122,1.465,2.380
0.093,-0.018,0.926,1.221,2.075,1.465
0.134,-0.098,1.119,3.052,0.793,2.441
-0.055,-0.056,1.035,0.610,0.366,2.930
0.031,-0.003,0.860,-1.221,1.526,2.686
-0.046,0.005,0.839,0.793,0.732,2.380
0.060,-0.046,1.092,2.441,1.221,1.892
0.021,-0.063,1.107,1.282,1.160,1.221
-0.001,-0.025,0.837,0.000,1.038,1.404
0.073,-0.008,0.875,0.671,1.587,1.343
0.052,-0.025,0.929,2.075,0.854,1.770
0.048,-0.037,0.956,1.404,1.160,2.136
0.008,0.021,1.003,0.549,0.916,1.892
-0.013,-0.034,0.982,0.183,0.793,0.610
0.022,-0.016,0.940,1.526,1.587,0.549
0.036,-0.032,0.943,1.648,1.526,1.160
0.073,-0.092,1.037,0.488,0.549,1.953
-0.002,-0.036,0.899,-0.549,0.366,1.526
0.028,-0.013,0.833,1.343,1.831,0.732
0.054,-0.013,0.987,2.380,1.526,0.732
0.122,-0.061,1.159,0.671,0.854,1.160
-0.041,-0.042,1.073,0.488,0.793,2.014
0.043,-0.078,0.934,0.854,1.404,2.075
0.101,-0.059,1.024,1.709,1.892,1.953
0.079,-0.061,0.861,0.854,1.160,1.343
-0.015,-0.026,0.810,0.549,0.793,2.625
-0.024,0.016,0.767,1.526,1.770,2.686
0.136,-0.009,0.956,2.075,1.648,2.563
0.076,-0.093,1.239,0.732,0.549,2.380
0.006,-0.025,0.984,0.610,1.099,1.831
0.123,-0.100,0.972,1.160,1.465,1.404
0.120,-0.059,1.008,1.709,1.343,1.526
0.081,-0.108,0.903,0.732,1.282,1.282
-0.012,-0.011,0.889,1.526,0.854,2.319
0.054,-0.007,0.894,1.465,1.892,2.930
0.066,-0.016,1.111,0.488,-0.183,3.906
0.051,-0.104,1.193,0.488,0.793,3.174
-0.077,-0.002,0.785,1.587,0.916,2.747
0.027,-0.020,0.773,1.892,2.136,1.160
0.127,-0.025,0.934,1.099,0.977,0.793
0.052,-0.121,1.196,0.244,0.061,0.610
0.041,-0.075,1.041,1.099,2.014,0.793
-0.086,0.004,0.870,1.648,0.916,1.221
0.126,-0.031,0.934,0.549,2.014,0.671
0.072,-0.036,1.037,0.244,0.610,0.854
-0.067,-0.010,0.903,1.099,1.526,0.732
-0.029,0.020,0.916,1.587,2.014,0.732
0.094,-0.032,1.117,0.549,1.221,0.427
0.022,-0.071,1.051,1.160,1.343,1.160
0.015,-0.016,0.825,1.648,0.916,1.831
0.046,-0.006,0.903,1.099,0.854,1.709
0.050,-0.022,0.883,1.282,0.610,1.953
0.015,-0.004,0.896,1.709,1.038,2.869
0.017,-0.010,1.008,1.404,0.916,2.930
0.160,-0.073,1.182,0.977,0.854,2.747
0.100,-0.143,1.178,1.892,0.977,3.113
-0.067,-0.029,0.794,1.587,0.916,3.235
0.052,-0.000,0.795,0.366,1.770,2.502
0.132,-0.039,0.976,0.122,0.488,2.441
0.009,-0.087,1.114,0.732,1.099,1.953
0.064,-0.085,0.985,1.221,1.831,1.648
-0.050,0.021,0.899,1.099,1.038,0.854
0.014,0.002,1.000,0.366,1.709,0.183
0.145,-0.088,1.106,0.549,1.343,0.427
-0.061,-0.042,1.046,1.892,1.038,1.221
-0.053,0.038,0.768,1.282,1.526,1.648
0.091,-0.010,0.929,1.099,1.099,1.343
0.164,-0.041,1.144,2.625,1.404,2.502
-0.027,-0.090,1.020,1.404,0.488,2.991
0.121,-0.028,0.960,0.854,1.282,3.235
0.017,-0.083,0.910,1.587,0.427,3.357
0.015,-0.016,0.934,3.296,1.526,4.150
-0.040,0.066,0.779,2.747,1.221,3.479
0.046,-0.049,1.020,1.587,1.038,2.869
0.121,-0.120,1.138,1.343,1.221,3.662
-0.019,-0.049,0.884,0.854,0.366,4.028
0.008,-0.066,0.853,1.709,1.587,3.296
0.096,-0.114,1.108,1.465,1.160,3.418
-0.004,-0.040,0.983,1.221,0.916,3.357
0.100,-0.050,0.826,1.282,1.648,2.747
-0.011,0.005,0.832,1.099,0.061,2.625
0.070,-0.001,0.843,0.977,1.953,2.075
0.144,-0.156,1.279,0.305,0.732,1.221
-0.008,-0.071,1.101,0.000,0.977,1.038
-0.061,0.038,0.584,0.000,1.526,1.282
0.054,0.047,0.776,1.343,1.831,2.075
-0.088,-0.000,0.857,1.526,0.000,3.052
0.162,-0.065,1.337,1.038,1.953,2.563
0.069,-0.104,1.132,0.061,0.854,1.953
-0.068,-0.002,0.779,0.549,0.732,1.831
-0.005,0.013,0.725,2.075,2.197,1.709
-0.026,0.020,0.919,1.831,0.549,2.625
0.155,-0.116,1.271,1.221,1.709,2.686
-0.059,-0.047,0.921,1.404,0.549,3.601
0.026,-0.009,0.825,0.977,1.099,3.296
-0.036,-0.016,0.941,0.671,1.404,2.441
0.117,-0.078,1.038,1.099,1.343,2.686
0.049,-0.088,1.240,1.953,0.916,2.747
-0.088,0.019,0.707,0.732,1.038,1.953
0.108,-0.007,0.826,0.916,1.892,0.427
0.218,-0.095,1.207,1.587,0.854,0.610
-0.036,-0.084,1.008,0.244,0.732,0.488
0.063,-0.040,0.827,0.671,1.709,0.610
0.080,-0.034,0.881,0.854,0.793,0.977
0.032,-0.013,0.877,1.404,1.038,0.549
0.130,0.007,0.841,0.732,0.977,-0.122
-0.076,-0.018,0.885,1.343,0.366,-0.427
0.234,-0.048,1.059,2.014,2.502,0.183
0.002,-0.044,1.032,0.732,-0.427,0.977
0.013,-0.094,1.017,0.916,1.648,1.160
-0.051,0.060,0.581,1.709,1.282,1.099
0.047,0.012,0.881,2.258,3.235,0.488
0.236,-0.100,1.195,0.854,0.305,0.732
0.013,-0.087,1.135,-0.244,-0.061,0.610
-0.001,-0.108,1.021,0.488,1.831,0.427
-0.087,0.016,0.668,1.526,0.610,0.732
0.079,-0.017,0.999,1.953,2.136,0.488
0.005,-0.048,1.059,0.488,0.061,1.160
0.008,-0.022,0.919,-0.427,0.916,0.854
0.012,-0.020,0.877,0.671,2.075,0.671
-0.012,0.001,0.841,1.709,1.038,0.427
0.031,0.022,0.985,1.221,1.648,-0.183
0.084,-0.029,1.094,0.427,1.099,-0.549
0.027,-0.085,1.051,1.404,1.221,0.183
0.026,-0.015,0.794,1.465,0.916,1.343
-0.058,-0.011,0.807,1.038,1.282,1.221
0.157,-0.045,0.994,0.854,1.587,1.831
0.027,-0.054,1.090,0.305,0.916,1.465
-0.015,-0.054,0.925,0.916,0.916,1.038
-0.011,0.012,0.865,1.831,0.610,1.038
0.026,0.017,0.986,1.099,1.038,1.038
0.080,-0.076,1.070,0.977,1.221,1.282
0.046,-0.058,1.037,1.770,0.427,2.014
-0.034,-0.024,0.850,1.831,1.465,2.319
0.000,0.005,0.860,1.099,1.099,2.747
0.097,-0.016,1.033,0.366,1.831,2.380
0.015,-0.044,0.980,1.587,0.488,2.686
-0.129,-0.006,0.919,1.526,0.732,2.075
0.084,-0.034,1.068,0.916,2.136,1.709
0.139,-0.106,1.170,0.427,1.221,1.404
0.135,-0.130,1.138,2.014,1.404,1.709
-0.094,0.001,0.799,1.526,0.305,2.197
0.045,0.006,0.732,0.732,2.197,2.075
0.124,-0.008,0.958,-0.122,0.122,3.174
0.063,-0.094,1.252,0.977,0.671,3.479
0.041,-0.078,1.044,1.282,0.305,3.601
-0.064,-0.019,0.990,2.197,1.282,4.089
-0.063,0.052,0.698,1.953,1.709,3.967
0.117,-0.037,1.007,2.014,2.014,3.418
0.191,-0.094,1.217,2.441,1.282,3.967
-0.035,-0.062,0.910,1.709,0.549,4.211
0.046,-0.020,0.808,1.404,1.953,4.211
-0.053,-0.015,0.940,-0.122,0.488,4.395
0.084,-0.052,1.064,-0.610,1.526,3.540
0.067,-0.062,0.998,-0.305,0.916,1.831
0.012,-0.046,0.874,1.038,0.732,1.221
-0.050,0.004,0.921,2.136,1.160,1.221
0.152,-0.077,1.168,1.404,1.282,1.770
-0.000,-0.079,1.035,0.610,0.671,2.197
0.036,-0.006,0.788,0.549,1.587,2.197
-0.008,-0.003,0.868,0.793,1.282,1.892
0.031,0.007,1.038,1.343,1.709,1.648
0.121,-0.103,1.173,1.099,1.343,0.793
0.005,-0.059,0.948,1.770,1.465,0.854
0.031,-0.022,0.745,2.136,1.282,1.831
0.057,-0.005,0.980,1.526,0.793,2.258
-0.011,-0.007,0.937,0.671,1.160,2.136
0.085,-0.030,0.965,0.305,1.465,1.770
0.109,-0.052,1.139,0.916,0.977,2.014
-0.035,-0.100,1.015,0.793,0.427,1.892
0.034,-0.039,1.012,0.977,1.038,1.831
-0.035,0.019,0.811,0.427,0.977,1.282
0.064,-0.007,0.924,0.549,1.404,0.916
-0.026,-0.029,1.120,1.282,0.916,0.854
0.053,-0.080,1.088,0.977,1.709,1.343
0.009,-0.059,0.960,0.671,0.732,1.648
0.007,0.010,0.835,0.671,1.038,1.587
0.038,-0.017,0.898,1.099,1.221,1.160
0.090,-0.026,0.872,1.404,1.282,0.793
-0.014,-0.008,0.921,1.770,1.404,0.732
0.021,-0.016,0.980,1.526,1.526,1.831
0.049,-0.039,1.067,0.427,0.854,2.991
0.082,-0.102,1.245,0.732,0.916,3.479
-0.003,-0.047,0.857,0.732,0.732,2.563
0.022,-0.047,0.834,1.648,1.953,1.282
-0.070,-0.005,0.732,1.770,0.488,1.099
0.089,-0.030,1.205,1.099,0.732,0.916
0.115,-0.073,1.148,0.488,0.732,1.099
0.046,-0.061,0.891,0.977,1.038,1.770
0.023,0.003,0.807,2.197,2.075,1.953
0.021,-0.020,1.008,1.770,0.061,2.380
0.039,-0.051,1.064,-0.061,0.977,1.770
0.091,-0.062,0.978,0.244,1.953,1.587
-0.030,-0.074,0.962,1.953,1.038,1.160
0.088,-0.097,0.975,2.380,1.770,0.916
0.065,-0.052,0.923,1.099,0.977,1.038
0.128,-0.066,0.886,0.732,1.648,1.404
0.121,-0.076,0.963,1.343,1.038,2.075
-0.017,-0.002,0.918,1.221,0.610,2.502
-0.086,0.006,0.858,1.038,1.343,1.892
0.010,0.018,1.080,0.916,1.221,1.282
0.150,-0.083,1.141,1.221,1.221,1.038
0.021,-0.096,1.093,1.526,-0.061,1.648
-0.023,0.003,0.713,1.831,1.953,1.953
-0.033,0.007,0.837,0.671,0.488,2.808
0.067,-0.054,1.247,-0.122,1.160,2.380
0.038,-0.043,1.122,0.183,1.343,2.380
-0.025,-0.044,0.920,1.343,1.038,1.831
0.063,-0.010,0.870,2.075,1.953,0.793
0.014,-0.050,1.080,1.831,0.488,0.732
0.092,-0.088,1.088,1.465,2.075,1.648
-0.066,-0.005,0.970,1.160,0.549,2.563
0.031,-0.037,1.030,1.160,1.404,2.014
-0.063,-0.013,1.009,1.160,1.038,2.258
0.104,-0.036,0.958,1.160,1.648,1.648
0.072,-0.126,1.133,1.282,0.427,1.892
-0.034,-0.033,0.840,0.671,0.549,1.831
0.063,-0.010,0.839,0.671,1.709,1.831
0.043,-0.018,0.993,0.366,0.732,2.197
0.070,-0.069,1.135,0.061,0.610,1.953
-0.095,-0.039,0.994,0.916,0.977,1.831
0.076,-0.047,0.929,1.282,1.648,2.197
0.052,-0.039,1.092,1.160,0.427,2.136
-0.064,0.009,0.785,0.183,0.854,1.099
0.016,0.017,0.776,0.793,1.770,0.488
0.010,-0.017,1.017,1.526,1.343,0.305
0.147,-0.086,1.209,1.343,1.099,0.732
0.006,-0.103,1.101,1.282,0.671,1.648
-0.082,0.029,0.717,0.305,0.488,2.380
0.071,0.027,0.780,0.427,1.831,1.221
0.082,-0.046,0.940,1.526,0.793,0.549
0.133,-0.053,1.049,1.770,1.282,0.244
-0.027,-0.014,0.717,0.854,1.160,0.793
0.137,-0.024,0.896,0.610,1.038,1.282
0.124,-0.054,1.079,1.221,0.854,1.953
0.097,-0.082,1.021,0.488,1.343,1.831
-0.016,-0.016,0.852,0.793,0.977,1.587
-0.096,0.016,0.796,1.709,1.221,0.916
0.094,-0.006,1.108,1.404,1.648,0.427
0.058,-0.067,1.130,0.916,0.793,0.488
-0.011,-0.061,0.964,0.977,0.244,1.160
0.053,-0.020,0.806,1.465,1.831,1.343
-0.063,-0.005,0.893,1.526,0.916,2.136
0.114,-0.058,1.109,1.038,1.404,2.075
-0.016,-0.052,1.076,0.793,0.671,1.709
-0.060,-0.022,0.804,0.793,1.221,0.977
0.064,-0.007,0.833,1.099,2.014,0.977
0.085,-0.025,0.935,1.343,0.732,0.549
0.058,-0.042,0.940,1.099,1.221,0.671
0.114,-0.045,0.958,0.549,0.977,0.488
-0.048,-0.023,0.925,1.099,0.732,0.488
-0.061,0.021,0.809,1.648,1.465,0.610
0.106,-0.027,1.064,1.221,1.343,0.732
0.205,-0.092,1.368,1.709,1.099,1.770
0.012,-0.125,1.039,0.671,-0.183,2.136
-0.045,-0.052,0.982,0.977,1.648,2.075
-0.025,0.011,0.703,0.061,1.587,1.831
0.127,-0.011,1.010,0.183,0.977,1.892
-0.035,-0.050,1.138,1.526,0.793,2.563
-0.012,-0.034,1.051,1.160,0.793,2.563
0.039,-0.040,1.040,0.244,1.404,1.648
-0.024,-0.000,0.783,0.793,0.732,1.038
0.037,0.002,0.808,2.441,0.916,1.038
0.038,-0.035,0.928,2.441,1.587,1.648
0.121,-0.084,1.180,0.427,1.160,2.380
-0.100,-0.017,0.882,1.160,0.183,3.113
0.074,-0.008,0.847,0.916,2.075,1.892
0.039,-0.014,0.985,0.793,0.610,1.221
-0.019,-0.023,0.978,1.282,1.404,0.977
0.088,-0.042,0.957,1.465,1.221,1.221
0.049,-0.047,1.013,0.610,1.221,1.465
0.024,-0.034,0.917,1.221,0.977,2.136
0.051,-0.014,0.851,1.587,0.671,2.197
0.048,-0.011,0.953,1.038,1.099,1.831
0.052,-0.014,0.839,0.977,1.099,1.709
0.066,-0.036,0.940,1.770,1.099,2.136
-0.032,-0.044,1.077,1.831,1.038,2.747
0.104,-0.083,1.074,0.122,1.404,3.113
0.041,-0.090,1.140,0.671,0.488,3.357
-0.060,-0.013,0.781,1.282,0.916,2.258
0.036,-0.005,0.769,1.282,1.648,1.099
0.119,-0.034,0.975,0.427,0.916,0.000
0.011,-0.064,1.068,0.610,0.366,0.183
0.057,-0.057,1.005,1.221,1.404,0.793
-0.004,0.003,0.873,1.404,1.221,1.831
0.047,0.005,0.881,0.732,1.465,2.075
-0.002,-0.011,1.050,0.732,1.038,1.831
0.088,-0.067,1.091,1.099,1.587,1.160
0.050,-0.055,0.960,1.587,0.977,1.099
-0.077,0.014,0.780,1.282,1.099,1.160
0.030,-0.006,0.908,1.160,1.465,0.977
0.156,-0.113,1.185,0.854,0.854,0.916
0.017,-0.104,1.132,2.258,0.854,1.099
-0.028,-0.012,0.610,1.587,1.648,1.343
0.068,0.004,0.802,0.427,1.221,1.709
-0.100,0.010,0.773,0.183,0.244,2.014
0.097,-0.038,1.208,1.404,1.160,1.831
0.024,-0.050,1.149,1.160,0.671,1.709
0.008,-0.042,0.933,0.549,1.038,1.221
0.009,0.002,0.716,1.160,1.831,0.854
-0.061,-0.002,0.876,2.014,0.488,1.282
0.156,-0.095,1.226,1.099,1.770,1.343
-0.043,-0.029,1.036,0.854,0.610,2.258
-0.073,-0.003,0.888,0.793,1.160,2.014
0.034,0.006,0.871,1.282,1.892,1.648
0.085,-0.051,1.107,2.380,0.916,2.258
-0.035,-0.092,1.113,1.526,0.854,2.380
-0.008,0.019,0.720,-0.427,1.343,2.197
-0.033,0.014,0.784,1.099,1.404,2.014
0.223,-0.052,1.141,3.357,1.770,2.380
0.024,-0.109,1.238,0.854,0.061,2.991
0.054,-0.050,0.893,-0.549,1.404,3.357
0.058,-0.033,0.833,-0.061,1.099,3.784
0.007,0.005,0.925,2.197,0.854,3.601
-0.059,-0.011,0.921,1.526,0.854,2.136
0.020,-0.011,1.041,0.427,0.793,2.075
0.097,-0.062,1.166,1.221,1.709,1.709
0.002,-0.047,0.911,2.319,0.305,2.258
0.057,-0.019,0.792,2.197,1.831,3.052
0.016,-0.016,0.964,1.221,0.732,4.089
0.083,-0.075,1.151,0.488,1.343,4.700
0.042,-0.050,1.060,1.465,1.343,4.089
-0.056,-0.025,0.820,2.014,0.671,2.991
0.075,-0.011,0.879,1.831,1.587,2.563
0.071,-0.024,0.914,1.160,0.916,2.197
0.008,-0.019,0.885,1.160,1.221,2.808
0.129,-0.020,0.848,1.038,0.549,3.113
-0.049,-0.017,0.916,1.465,0.732,2.869
0.050,-0.005,0.965,1.587,1.221,3.113
-0.024,-0.006,0.989,1.282,1.038,3.296
0.206,-0.136,1.268,1.404,0.732,3.296
0.022,-0.095,1.042,0.977,0.427,2.747
0.004,-0.042,0.903,1.282,1.099,2.014
-0.086,0.041,0.613,1.404,1.099,1.892
0.115,-0.035,1.059,1.648,1.160,1.282
0.004,-0.057,1.180,1.526,0.916,1.709
-0.020,-0.071,0.987,0.977,0.732,2.136
0.107,-0.074,1.016,1.099,1.770,2.136
0.021,-0.064,0.872,0.183,1.831,2.075
0.087,-0.031,0.825,0.366,1.709,2.014
0.129,-0.063,0.944,0.427,1.160,1.404
-0.066,-0.006,0.797,0.610,0.488,1.282
0.260,-0.038,1.046,1.099,2.625,1.099
0.005,-0.083,1.228,0.122,-0.427,1.160
0.098,-0.102,1.113,0.183,1.709,0.977
-0.058,0.009,0.835,0.916,0.366,1.465
-0.048,0.035,0.718,1.953,2.136,1.099
-0.073,0.017,0.920,1.282,0.183,1.038
0.097,-0.109,1.251,0.854,0.916,1.343
-0.166,-0.003,0.952,0.916,0.549,1.953
0.149,-0.069,0.951,0.610,2.075,2.075
0.013,-0.038,1.010,0.488,0.549,2.747
-0.002,-0.006,0.763,0.183,1.465,2.869
0.049,0.040,0.898,0.305,1.404,2.258
0.021,-0.016,0.899,0.793,1.038,1.038
-0.066,0.032,0.898,1.831,1.038,0.366
0.230,-0.055,1.084,1.831,1.770,0.305
0.047,-0.118,1.057,0.183,0.671,0.977
0.037,-0.048,0.943,1.465,1.526,1.526
-0.033,-0.003,0.878,1.953,0.793,2.991
0.094,-0.022,1.106,0.610,0.793,3.662
-0.023,-0.047,1.066,0.122,0.244,2.747
-0.039,-0.023,0.885,1.587,0.977,2.014
0.051,-0.030,0.906,1.953,1.648,0.854
-0.061,0.005,0.983,1.282,0.732,0.854
0.093,-0.070,1.069,0.916,1.587,1.709
-0.126,0.010,1.060,1.038,0.671,2.563
0.011,-0.054,1.029,0.916,1.526,2.014
-0.013,-0.041,0.856,1.160,0.610,1.953
0.013,0.008,0.803,0.854,2.136,0.977
0.180,-0.055,1.020,0.916,1.282,1.099
0.077,-0.095,1.019,0.305,0.854,1.038
0.052,-0.053,0.934,0.916,1.282,1.709
-0.109,0.034,0.623,1.648,1.099,1.831
0.130,0.018,1.090,1.892,2.014,1.404
0.098,-0.074,1.200,0.793,-0.122,1.587
0.005,-0.095,1.054,-0.061,0.549,1.526
0.006,-0.033,0.816,0.488,1.465,1.221
-0.146,0.015,0.702,1.465,0.427,1.404
0.129,-0.027,1.141,1.892,2.136,0.977
-0.038,-0.023,1.061,1.404,0.244,1.221
0.016,-0.040,0.918,0.610,0.610,0.610
0.102,-0.021,0.899,1.282,2.014,0.427
0.033,-0.014,0.910,1.892,0.854,0.610
0.075,-0.031,0.981,1.526,2.136,0.366
0.038,-0.067,1.002,1.099,0.610,1.587
-0.025,0.004,0.845,0.916,0.854,1.099
0.077,-0.020,0.901,0.671,1.465,0.732
-0.007,0.020,1.000,0.793,0.366,0.488
0.057,-0.062,1.094,1.465,0.732,0.610
0.047,-0.063,0.936,1.648,0.549,2.258
-0.051,0.016,0.800,0.854,1.160,3.235
0.007,0.011,0.944,0.610,1.038,2.869
0.138,-0.110,1.150,0.671,1.465,2.014
0.033,-0.113,1.127,2.319,1.404,1.343
-0.048,0.000,0.651,1.892,1.343,1.038
0.031,0.031,0.776,0.977,1.282,1.221
-0.118,0.070,0.840,0.427,0.916,1.892
0.030,-0.010,1.063,0.916,1.038,1.648
0.051,-0.050,1.183,2.502,1.160,1.404
-0.083,-0.013,0.856,1.770,-0.183,1.831
0.094,-0.023,0.884,1.404,1.770,1.892
-0.092,0.018,0.832,1.038,0.977,2.625
0.115,-0.075,1.152,1.587,1.343,3.357
-0.006,-0.057,1.096,1.709,0.305,2.991
-0.087,-0.005,0.819,1.892,0.854,2.258
0.098,-0.024,0.915,1.526,1.953,1.587
-0.013,-0.006,0.994,1.221,0.671,1.526
0.116,-0.062,1.026,0.854,1.465,1.465
0.097,-0.083,1.013,0.854,1.282,2.502
-0.084,-0.002,0.777,0.732,0.977,3.113
-0.095,0.032,0.832,1.038,1.282,2.625
0.154,-0.060,1.092,0.610,1.465,1.831
0.126,-0.139,1.252,0.671,1.404,1.038
0.014,-0.041,0.796,0.854,1.038,1.221
0.049,-0.018,0.822,1.709,1.709,1.953
-0.064,0.069,0.498,1.709,0.793,3.052
0.137,0.005,0.980,2.625,0.671,3.784
-0.038,-0.037,1.198,2.502,0.122,3.418
0.094,-0.098,1.039,2.136,1.648,3.662
0.016,-0.042,1.006,2.441,0.244,4.272
-0.084,0.023,0.765,2.014,0.549,3.479
0.098,-0.020,0.925,1.648,1.892,2.380
0.111,-0.052,1.016,0.916,1.831,1.770
0.039,-0.104,1.072,0.488,0.793,1.892
0.094,-0.068,0.943,1.038,1.404,2.380
0.048,-0.071,0.957,1.221,1.038,4.028
0.012,-0.045,0.945,1.526,0.854,4.395
-0.028,0.049,0.713,1.526,1.282,3.296
-0.078,0.041,0.789,1.831,1.099,2.747
0.034,-0.005,1.022,2.319,1.831,2.625
0.098,-0.127,1.352,1.953,-0.366,2.991
0.005,-0.077,0.978,2.258,0.854,2.625
0.107,-0.037,0.807,1.709,1.038,3.357
-0.053,0.023,0.836,1.526,0.122,4.456
-0.092,0.019,0.960,0.854,0.610,3.967
-0.025,0.002,1.104,0.061,1.343,2.502
0.100,-0.128,1.153,-0.488,2.197,0.793
0.012,-0.057,0.876,-0.671,0.671,0.854
0.045,-0.035,0.765,0.000,1.831,0.916
-0.071,0.007,0.776,-0.305,0.916,2.197
0.144,-0.066,1.203,-0.244,1.770,1.770
-0.032,-0.061,1.137,-0.366,0.977,1.648
-0.032,-0.033,0.834,0.183,0.977,0.732
0.157,-0.021,0.918,0.793,2.136,-0.244
0.062,-0.091,0.974,0.671,0.732,-0.610
0.022,-0.036,0.908,1.160,1.160,0.366
0.077,-0.005,0.850,1.221,1.526,1.160
-0.044,0.008,0.857,0.732,1.221,1.709
0.168,-0.045,1.071,0.549,0.610,1.587
0.064,-0.082,1.187,0.244,0.488,1.160
0.060,-0.106,0.957,0.000,1.648,0.549
-0.092,0.040,0.727,0.610,0.610,0.916
0.003,0.020,0.865,1.831,1.221,1.160
0.147,-0.058,1.082,1.953,0.244,1.709
0.023,-0.088,1.117,1.526,0.916,2.136
-0.030,-0.065,0.899,1.160,1.526,2.319
0.016,0.000,0.844,0.732,1.282,1.404
0.037,0.006,0.984,0.244,1.770,1.099
0.064,-0.043,0.923,0.122,0.916,0.854
-0.006,-0.016,0.935,0.793,1.465,0.854
-0.035,0.007,0.997,1.404,1.648,0.977
0.099,-0.029,1.074,1.404,1.709,1.648
0.079,-0.083,1.159,1.465,0.549,2.502
-0.018,-0.052,0.868,1.709,0.671,2.563
0.054,-0.002,0.775,2.136,1.709,2.258
0.057,-0.019,0.927,1.709,0.671,1.709
0.067,-0.063,1.049,1.770,0.610,2.197
0.044,-0.046,0.997,1.648,0.854,2.625
0.078,-0.058,0.856,1.648,1.099,3.052
0.126,-0.038,0.877,1.831,1.282,3.662
0.091,-0.107,1.064,1.221,0.549,2.869
-0.056,-0.053,0.890,0.977,1.038,2.319
0.054,0.020,0.885,1.038,2.380,2.014
-0.009,0.004,0.981,0.488,1.282,2.380
0.156,-0.098,1.136,0.916,1.160,2.625
0.100,-0.104,1.172,0.793,0.732,2.319
0.032,-0.098,0.875,0.671,1.648,1.953
-0.053,0.027,0.743,0.610,1.099,2.197
0.034,0.034,0.936,0.549,1.221,1.831
0.061,-0.058,1.045,0.427,0.366,1.465
0.003,-0.045,0.967,0.488,0.732,1.526
0.102,-0.078,0.912,0.854,1.770,1.831
0.052,-0.063,0.916,1.099,0.610,2.075
0.086,-0.024,0.953,1.770,1.343,2.319
0.117,-0.130,1.030,1.709,1.282,1.282
-0.054,-0.036,0.915,1.831,0.977,1.465
-0.044,0.059,0.877,2.014,1.892,1.648
0.111,-0.034,1.039,1.282,1.343,1.343
-0.092,0.005,1.128,0.732,0.427,2.136
0.047,-0.070,1.057,0.122,1.831,2.014
0.053,-0.081,1.044,0.061,0.916,2.197
-0.002,-0.008,0.763,-0.244,1.038,1.587
0.030,-0.021,0.885,-0.183,0.916,1.221
0.142,-0.049,0.981,0.610,0.549,1.099
0.070,-0.071,1.121,1.770,0.488,1.221
0.061,-0.100,0.954,1.648,1.099,0.916
-0.052,0.000,0.791,1.282,0.854,1.648
-0.016,0.005,0.930,1.160,1.526,1.587
0.156,-0.058,1.031,0.916,0.977,1.587
-0.016,-0.070,1.051,0.977,0.671,1.892
0.043,-0.077,0.932,1.465,1.892,1.892
0.062,-0.040,0.840,1.282,1.099,1.282
0.065,-0.049,0.935,1.099,1.404,0.916
0.092,-0.046,0.897,0.977,1.343,0.793
0.053,-0.069,1.105,0.854,0.610,2.075
-0.035,-0.047,0.828,1.038,0.549,2.136
0.030,0.000,0.781,1.160,1.221,2.197
0.065,-0.038,0.997,1.282,0.854,1.526
0.068,-0.075,1.047,1.160,0.732,2.075
0.075,-0.072,1.023,1.831,1.160,2.258
0.023,-0.091,0.915,1.648,0.732,1.770
-0.054,0.010,0.773,1.953,1.526,1.709
0.142,-0.010,0.975,2.319,2.380,1.404
0.012,-0.027,1.067,2.197,0.183,2.075
0.046,-0.040,0.876,2.380,1.160,1.465
0.036,-0.001,0.838,1.831,1.770,1.099
0.024,-0.016,1.008,1.709,1.282,1.953
0.051,-0.050,1.141,1.099,0.610,2.258
0.067,-0.091,1.106,0.793,0.793,2.197
