aX,aY,aZ,gX,gY,gZ
0.135,-0.108,1.161,1.892,1.099,6.775
0.126,-0.128,1.164,2.502,2.014,6.348
0.012,-0.036,0.802,1.831,0.916,6.165
0.033,-0.050,0.916,2.380,1.160,6.226
0.085,-0.005,0.817,2.014,1.221,6.836
0.072,-0.011,1.025,1.465,0.183,7.080
0.086,-0.102,1.166,1.404,2.563,6.714
0.050,-0.104,1.009,0.732,0.610,6.287
0.027,-0.028,0.969,1.465,1.587,6.409
0.056,-0.082,1.035,1.343,0.732,6.836
0.017,-0.084,1.037,1.282,0.549,7.080
-0.067,0.012,0.678,1.282,1.953,7.263
0.114,-0.018,0.934,1.953,2.502,6.836
0.146,-0.070,1.182,1.892,-0.244,6.226
-0.026,-0.100,1.065,2.075,0.854,5.493
-0.011,-0.062,0.896,2.441,2.258,5.005
0.025,-0.022,0.742,2.563,1.404,5.066
0.032,-0.023,0.969,2.747,1.038,4.944
0.085,-0.094,1.151,2.563,0.671,5.066
-0.039,-0.070,1.005,1.770,0.122,5.188
0.097,-0.085,1.111,1.770,2.747,5.188
-0.074,-0.067,0.932,0.610,0.122,4.944
-0.045,-0.026,0.842,0.610,2.075,5.127
0.013,-0.039,0.856,0.671,1.465,5.127
0.072,-0.028,0.948,0.549,1.160,5.066
0.068,-0.012,1.043,0.732,0.916,4.883
0.052,-0.072,0.975,0.793,1.587,4.517
-0.026,-0.076,1.131,1.343,1.404,4.211
0.014,-0.084,0.985,1.343,1.892,3.540
0.015,-0.053,0.943,2.197,1.038,3.479
-0.022,0.009,0.707,2.930,1.526,3.601
0.114,-0.033,0.996,3.479,1.465,3.540
0.037,-0.014,0.933,3.296,1.526,3.723
0.085,-0.097,1.068,2.747,1.892,3.662
0.116,-0.103,1.119,2.441,1.709,3.540
-0.034,-0.056,0.791,1.770,0.977,3.479
0.037,-0.033,0.888,1.709,1.892,3.418
0.042,-0.027,0.889,1.221,1.587,3.601
0.095,-0.084,1.119,0.488,0.549,3.479
0.146,-0.105,1.130,0.671,1.282,3.601
-0.037,-0.113,1.062,0.305,-0.671,3.052
-0.048,-0.037,0.806,1.099,3.174,2.625
0.024,-0.040,0.798,0.793,0.061,2.502
0.050,-0.024,0.925,1.038,1.038,2.197
0.052,-0.036,1.008,1.221,0.977,2.319
0.035,-0.054,1.011,0.916,0.916,2.380
0.054,-0.079,1.131,0.977,0.977,2.136
-0.139,-0.022,0.807,0.977,1.038,2.258
0.007,-0.024,0.923,2.441,2.808,2.258
0.022,-0.007,0.816,3.296,1.404,2.380
0.034,-0.029,0.949,4.456,1.587,2.686
0.102,-0.109,1.167,5.310,1.404,2.686
-0.008,-0.116,1.102,5.432,0.854,2.258
-0.020,-0.108,1.075,4.822,3.296,1.770
